lirik;emosi;judul;penyanyi
Dirimu peran utama di khayalku Mengganggu lamunanku Dirimu tiada henti mmembayangiku Di saat ku rapuh, terjatuh Tentangmu dan waktu yang tak bisa Sampaikan rinduku dalam penatku Karena perlahan ku percaya Semua indah pada waktunya Dan ku percaya Bukan ku tak ingin memiliki Walau kau tak pernah tahu kau lah yang selalu di hati Hanya ketakutan semakin dalam ku rasakan Biar lelah ini yang mengerti betapa dirimu selalu ku nanti Tiada kau sadari kau sangat berarti Hempasan rindu ini semakin ku nikmati Mimpi ini alasan bagiku untuk tetap bertahan Inikah cinta yang sesungguhnya Bukan ku tak ingin memiliki Walau kau tak pernah tau kau lah yang selalui di hati Hanya ketakutan semakin dalam ku rasakan Biar lelah ini yang mengerti betapa dirimu Biar lelah ini yang mengerti betapa dirimu Selalu ku nanti Selalu ku nanti Selalu ku nanti Selalu ku nanti;sedih;percaya;Golden Melody
Kita memang hanya bisa merencanakan Selebihnya kita hanya bisa berharap Misteri sebuah waktu yang tak pernah bisa Kita tahu ujungnya Tapi itu sempurna Membuat kita berusaha Yang terbaik yang kita bisa Seandainya tahu apa yang akan terjadi 'Ku pastikan kau takan bahagia Rahasia alam semesta memang sepantasnya Ada untuk manusia Dan itulah sempurna Membuat kita berusaha Yang terbaik yang kita bisa Dan itulah sempurna Membuat kita berusaha Yang terbaik yang kita bisa Berdoalah kepadaNya Berusaha sebisa kita Dan kelak niscaya ada hasilnya Syukuri pahami itulah yang Yang terindah Yang terbaik Berdoalah kepadaNya Berusaha sebisa kita Dan kelak niscaya ada hasilnya Syukuri pahami itulah yang Yang terindah Yang terbaik;sedih;Sempurna;Sitokotis
Distopia mewarnai mimpi buruk kita Distopia akankah berubah jadi nyata Manusia kian terbiasa Dengan jentera ke mana saja Manusia kian terbiasa Dengan mesin juga jalan raya Utopia akankah menghilang tanpa atah Utopia akankah hilang karna budaya Manusia telah terbiasa Dengan emisi gas rumah kaca Manusia telah terbiasa Dengan udara dan polusinya Ini tentang manusia yang bergantung pada laju roda Kemanapun perginya takan sempurna tanpa berkendara Ini tentang budaya yang bergantung pada sang jentera Melupakan petaka yang kan melanda jika tak berubah;bersemangat;Budaya Jentera;Mostis
Memandang semua dengan sudut yang sama Tatapanya hanya bermakna benar salah Manilai semua dengan angka yang sama Angka terendah atau angka tertinggi Tak mau tau jika tak sejalan Kan diinjak hingga titik penghabisan Tak peduli apa kata sejarah Terus menjarah hingga berdarah  Tak sadar tlah terjebak Aaaa Dalam sisi gelap paham yang membuat Ruam pada ruang hidup ini Mendebat tak menyerah Aaaa Dalam sisi gelap paham yang membuat Reputasi perdamaian menjadi basi Berobat pada paham paska Setelah semua dirasa berbeda Smakin terasa resah Semakin sesak merampas otak Berkaca pada paham paska Selepas beranjak setelah tersendak Semakin terasa gerah Semakin lebam luka paham yang terus digaram Menyamakan kehidupan dengan baris tulisan Berhenti pahami seiring dengan tanda baca Titik berhenti, seru membentak, tanya mendebat Melupakan alinea di rak buku berbeda;marah;Sisi Gelap Paham;Mostis
Berburu dan meramu untuk jadi makmur Tanpa ragu, t'rus menggancu lahan baru Atas nama kepentingan bersama Nyatanya timpang, tak ada adil di sana  Belum saatnya berhenti untuk mengatakan Pada stakeholder tentang semua disorder Belantara bukan tempat untuk gali harta Agraria pertanian bukan permainan Ah-ah-ha-ah Ah-ah-ha-ah (Hu-uh, hu-uh, hu-uh-uh) (Hu-uh, hu-uh, hu-uh-uh) (Hu-uh, hu-uh, hu-uh-uh) (Hu-uh, hu-uh, hu-uh-uh) Berburu dan meramu untuk jadi makmur Tanpa ragu, t'rus menggancu lahan baru Atas nama kepentingan bersama Nyatanya timpang, tak ada adil di sana Belum saatnya berhenti untuk mengatakan Pada stakeholder tentang semua disorder Belantara bukan tempat untuk gali harta Agraria pertanian bukan permainan  Belum saatnya berhenti untuk mengatakan Pada stakeholder tentang semua disorder Belantara bukan tempat untuk gali harta Agraria pertanian bukan permainan (Hu-uh, hu-uh, hu-uh-uh) (Hu-uh, hu-uh, hu-uh);bersemangat;Penyembah berhala abad 21;Mostis
Kumulai hari dengan secangkir kopi Bersama hangatnya sinar mentari pagi Perlahan meninggi, menerangi dunia Dari ujung cakrawala Memulai langkah dengan percaya diri Yakin hal indah sudahlah menanti Membuka lembar baru hidupku Hapuskan perih luka dalam hatiku Seiring berjalan melewati semua halangan Melepaskan beban Dan kini langkah yang baru Akan kumulai dalam hidupku Berawal dari titik terendah Perlahan menggapai mimpi Takkan pernah menyerah Meski hujan badai mencoba menahan Tetap tegak berdiri Percaya pelangi datang saat badai berhenti Bukan hal mudah untuk menggapai mimpi Ujian silih berganti takkan berhenti Takkan menyerah sampai di sini Kuatkan langkahku, yakinkan hatiku Dan kini langkah yang baru Akan kumulai dalam hidupku Berawal dari titik terendah Perlahan menggapai mimpi Takkan pernah menyerah Meski hujan badai mencoba menahan Tetap tegak berdiri Percaya pelangi datang saat badai berhenti Hu-uh Dan kini langkah yang baru Akan kumulai dalam hidupku Berawal dari titik terendah lahan menggapai mimpi Takkan pernah menyerah Meski hujan badai mencoba menahan Tetap tegak berdiri Percaya pelangi datang saat badai berhenti Na-na-na-na-na (na-na) Na-na-na-na-na Tetap tegak berdiri Percaya pelangi datang saat badai berhenti, eh-yeah Percaya pelangi datang saat badai berhenti;bersemangat;Langkah Baru;Golden Melody
Sinar mentari bangunkanku dari mimpi indah Yang ku alami malam tadi tentang indahnya dunia Burung-burung bernyanyi seiring ku melangkahkan kaki Membawa untuk menikmati hari yang indah Pam parararam aku bernyanyi Pam parararam aku bahagia Pam parararam aku bernyanyi Pam parararam aku bahagia  Sambut aku mentari hangatkan jiwa ini Menyatu dengan alam bebaskan semua beban Burung-burung bernyanyi seiring ku melangkahkan kaki Membawa untuk menikmati hari yang indah Pam parararam aku bernyanyi Pam parararam aku bahagia Pam parararam aku bernyanyi Pam parararam aku bahagia Sambut aku mentari hangatkan jiwa ini Menyatu dengan alam bebaskan semua beban Daun-daun menari seiring ku berlari Menikmati indahnya dunia Burung-burung bernyanyi seiring ku menari Bebas menikmati alam ini;bahagia;Hari yang Indah;Golden Melody
Jarak tak pernah mutlak bagi mereka yang bergerak Mengikuti laju arak-arakan dunia Yang katanya untuk menggapai sejahtera Tapi di ujung dunia mana saja tak kuasa Menghilangkan jarak, menciptakan sekat Jauhkan yang dekat Seiring dengan kepala menunduk, jari menari-nari Tak peduli apa yang ada di sebelahnya Serta mata yang terpaku pada gawai terbaru Teknologinya baru, fitur semakin maju Pengguna makin rancu Inikah dunia yang sunyi di tengah Ramainya manusia? Peringatan dini s'belum bencana melanda Jangan sampai lepaskan gawai dari genggaman Di mana pun itu dan kapan pun itu Kar'na kita terperangkap dunia tanpa batas Seiring kepala menunduk, jari menari-nari Tak peduli apa yang ada di sebelahnya Serta mata yang terpaku pada gawai terbaru Teknologinya baru, fitur semakin maju Seiring kepala menunduk, jari menari-nari Tak peduli apa yang ada di sebelahnya Serta mata yang terpaku pada gawai terbaru Teknologinya baru, fitur semakin maju Pengguna makin rancu Inikah dunia yang sunyi di tengah  ramainya manusia? Seiring kepala menunduk (inikah dunia), jari menari-nari Tak peduli apa yang ada di sebelahnya (yang sunyi di tengah ramainya) (Manusia?) Serta mata yang terpaku pada gawai terbaru Teknologinya baru, fitur semakin maju Pengguna makin rancu;sedih;Perangkap tanpa batas;Mostis
Satu per satu peluru menembusku Melewati lubang samping kepalaku Bersarang di balik tulang tengkoraku Berpijar meleburkan kewarasan Repertoar sempurna direncana Opera teater panggung sandiwara Lengkap dengan semua skenario Bintang iklan hingga musisi pun ada Satu pertunjukan dimainkan Setelah casting demokrasi ada Semua menentukan pilihanya Terjebak dalam oposisi binernya Ini yang bagus itu pasti yang buruk Ini yang bersih itu butuh dicuci Ini yang benar itu yang kurang aja Aku yang pintar pasti dia yang... Melupakan keragaman kedamaian Di semesta raya Yang tak pernah selalu sama Buka mata lihat semua yang ada;marah;Casting Demokrasi;Mostis
Mengikuti, perkataan orang yang terbiasa Menjadi lebah hitam dunia Dihisapnya, yang diperlunya dan menyebarkan Sari bunga yang sudah dijajah Melalui, pesta raksasa memilih manusia Menjadi lebah hitam dunia Dihapusnya, manusia dari hak menentukan Pada siapa ia percaya Hegemoni smakin menjadi Estuari hitam putih hilang, tersisa kini hanya gelap Mimpi buruk distopia, hilang semua utopia, Bergelayut dalam rana, salindia masa depan, kita;sedih;Hegemoni;Mostis
Di televisi atau halaman muka ponsel di tanganku Tentang proyeksi cuaca esok hari Terlihat bersahabat untuk ku pergi Berkendara dengan roda dua ku tanpa jas hujan Tiba saat ini waktuku untuk pergi Pelahan aku tinggalkan rumah ini Seperti rencana yang disepakati Olehku atas dasar teknologi Ternyata distorsi perhitungan manusia Terjadi pada proyeksi cuaca yang telah Aku yakin tanpa ragu dan abai pada kata Sedia payung sebelum kecewa melambung karena Hujan kadang datang waktu langit terang Badai kan terjadi tanpa kau tahu pasti Air kan membasahi tabuh tak terlindungi Juga kan tenggelamkan rencanamu ke depan Berkaca diri ini yang berhamba kepada Dunia yang dibalut moderenisasi, dan Berguru pada peristiwa yang di sekitar Diriku tentang manusia di abad 21 Dunia tak sebatas ekspetasi saja Smua bisa terjadi tanpa kau tahu pasti Sekalipun proyeksi nihil spekulasi Tetap saja kita tak kan bisa memastikan Besarkan ruang dalam dada Siapkan bilamana kita Kecewa dengan kemajuan Yang ternyata sebuah kemunduran Besarkan ruang dalam dada Siapkan bilamana kita Kecewa dengan kenyataan Yang tak seindah saat dibayangkan;santai;Proyeksi Cuaca;Mostis
S'perti mentari yang datang di kehausan Mengeringkan setiap dahaga yang meronta Kemudian lara S'perti hujan yang menyiram tanah yang curam Menggerus setia butir tanah yang rawan Kemudian hancur Kuberitakan duka di tangis dunia Bahwa kematian, kebijaksanaan tiba Sebuah miskonsepsi memahami etika Terjadi perang postulat hanya untuk berdaulat Sebuah miskonsepsi memahami etika Terjadi perang postulat hanya untuk berdaulat (Na, aa-aa) (Na, aa-aa) (Na, aa-aa) Seka air mata dunia dan mulai membuka mata Seka air mata dunia dan mulai membuka mata Lepaskan emosi, lekas 'tuk berfikir Bijaksana mati, hidupkan kembali Lepaskan emosi, lekas 'tuk berfikir Bijaksana mati, hidupkan kembali Sadarlah, kita terjebak, terjerembab di Sebuah miskonsepsi memahami etika Terjadi perang postulat hanya untuk berdaulat Sebuah miskonsepsi memahami etika Terjadi perang postulat hanya untuk berdaulat Sebuah miskonsepsi memahami etika;sedih;Bijaksana Mati;Mostis
Bangun pagi sinar mentari hangat di hatiseiring Bob Marley nyanyikan lagu cintaAku belum mandi dan gosok gigi,aku sudah di airDengan segelas kopi kupandang lautan lepas Ngak kenal waktuNgak kenal hariyang ku tahu hanyalah sunset dan sunrice…ooo……Anak pantaiooo……Suka damaiooo……Anak pantaiooo……hidup santai Mulai petang dengan mata redupAku rebah di atas pasir Memandang gadis-gadis cantik kulitnya merah terbakarGairahku memuncak waktu kan tiba Kuambil gitar teriakkan isi hatiMengundang orang-orang di sekitarkuBerbagi rasa bersama Ngak kenal waktuParty selaluyang ku suka hanyalah sunset dan sunrice…ooo……Anak pantaiooo……Suka damaiooo……Anak pantaiooo……hidup santai ooo……Anak pantaiooo……Suka damaiooo……Anak pantaiooo……hidup santai ooo……Anak pantaiooo……Anak pantaiooo……Anak pantai;santai;Anak Pantai;Reggea
Mungkin kita halu Atau kita rindu Mungkin kita lelah dengan modern yang ada Lini masa kabar Semakin berkobar Terus menjalar terkadang tak masuk nalar Peristiwa rancu Terkadang ambigu Dan sedikit lucu mengocok isi perutku Mana yang benar Mana yang kesasar Mana yang netral semua terlihat samar Hati-hati di jalan hidup ini Penipuan akan smakin menjadi Atas nama agama atau kerajaan Dan mungkin masih banyakn lagi di sana Skalipun berdiri di institusi Yang jelas diterima kontitusi Tetap saja bisa tuk dikelabui Hati-hati di jalan hidup ini Harga kebenaran naik makin tajam Tawar menawar harga pas langsung tancap gas Kemanusiaan dan keadilan Toping yang bisa dipilih sesuai selera Hati-hati di jalan hidup ini Penipuan akan smakin menjadi Atas nama manusia atau keadilan Dan mungkin masih banyakn lagi di sana Skalipun berdiri di institusi Yang jelas diterima kontitusi Tetap saja bisa tuk dikelabui Hati-hati di jalan hidup ini;sedih;Paska Kebenaran;Mostis
Di sela dunia yang semakin deras Terus hanyut kita biar saja Budaya tak punya patri mati Berganti seiring peradaban Seutas asa yang kan membawa Langkah tuk tiba di ujung sana Tapi sejuta putus asa menjelma Menjadi kabut hitam di jalan Menuju menjadi lebih dari saat ini Malah melukis elegi yang penuh rayuan Tuk Berbaring biarkan waktu berlalu Sampai ta sadar ia sudah jauh Koneksi data tak kenal jeda Membuat manusia terbawa Pada ruang maya tanpa batas Dan melupakan rencana untuk Terus tunda hingga tua Malas gerak membudaya Semakin nyaman merebahkan Tubuh sambil internetan;sedih;Budaya Perangkat;Mostis
Di saat kita bersama Di waktu kita tertawa Menangis merenung Oleh cinta Kau coba hapuskan rasa Rasa dimana kau melayang jauh Dari jiwaku Juga mimpiku Biarlah, biarlah Hariku dan harimu Terbelenggu satu Oleh ucapan manismu Dan kau bisikkan kata cinta Kau t'lah percikkan rasa sayang Pastikan kita seirama Walau terikat rasa hina Sekilas kau tampak layu Jika kau rindukan gelak tawa Yang warnai Lembar jalan kita Reguk dan teguklah Mimpiku dan mimpimu Terbelenggu satu Oleh ucapan janjimu Dan kau bisikkan kata cinta Kau t'lah percikkan rasa sayang Akankah kita seirama Saat terikat rasa hina;sedih;Kita;Sheila On Seven
Cinta yang sebenarnya indah sekali ehh Kadang menipu dan bikin sakit hati yeah eh Tapi lihatlah burung tetap bernyanyi yeah Terlalu indah untuk ditangisi yeah Nyanyi lagu pantai Nyanyi lagu santai yeah Nyanyi lagu pantai Mari kita santai yeah Cantik, mengejar sesuatu yang belum pasti Kadang kau gagal lalu frustasi Tapi hidup yang indah cuma sekali yeahh Terlalu singkat untuk ditangisi Nyanyi lagu pantai Nyanyi lagu santai yeah Nyanyi lagu pantai Mari kita santai yeah Nyanyi lagu pantai Nyanyi lagu santai yeah Nyanyi lagu pantai Mari kita santai yeah Yeah Nyanyi lagu pantai Nyanyi lagu santai yeah Nyanyi lagu pantai Mari kita santai yeah Nyanyi lagu pantai Nyanyi lagu santai yeah Nyanyi lagu pantai Mari kita santai yeah Huo yo huo yo huo o yoyoyo Huo yo huo oh santailah yeah Kalau kau frustasi karna kurang santai yeah Kaupun sakit hati karna kurang santai yeee Huo yo huo yo hou o yoyoyo. Huo yo huo oh santailah;santai;Santai;Steven & Coconuttreez
Namaku Bento rumah real estate Mobilku banyak harta berlimpah Orang memanggilku bos eksekutif Tokoh papan atas, atas segalanya (Asyik!) Wajahku ganteng banyak simpanan Sekali lirik oke sajalah Bisnisku menjagal, jagal apa saja Yang penting aku senang, aku menang Persetan orang susah karena aku Yang penting asyik Sekali lagi (Asyik!) Khotbah soal moral omong keadilan Sarapan pagiku Aksi tipu-tipu, lobying, dan upeti Wow, jagonya Maling kelas teri, bandit kelas coro Itu kantong sampah Siapa yang mau berguru datang padaku Sebut tiga kali namaku Bento! Bento! Bento! (Asyik!) Namaku Bento rumah real estate Mobilku banyak harta berlimpah Orang memanggilku bos eksekutif Tokoh papan atas, atas segalanya (Asyik!) Wajahku ganteng banyak simpanan Sekali lirik oke sajalah Bisnisku menjagal, jagal apa saja Yang penting aku senang, aku menang Persetan orang susah karena aku Yang penting asyik Sekali lagi (Asyik!) Khotbah soal moral omong keadilan Sarapan pagiku Aksi tipu-tipu, lobying, dan upeti Wow, jagonya Maling kelas teri bandit kelas coro Itu kantong sampah Siapa yang mau berguru datang padaku Sebut namaku Bento! Bento! Bento! (Asyik!) Bento!;santai;Bento;Iwan Fals
Kisah usang tikus-tikus kantor Yang suka berenang di sungai yang kotor Kisah usang tikus-tikus berdasi Yang suka ingkar janji lalu sembunyi Di balik meja teman sekerja Di dalam lemari dari baja Kucing datang cepat ganti muka Segera menjelma bagai tak tercela Masa bodoh hilang harga diri Asal tak terbukti ah tentu sikat lagi Tikus-tikus tak kenal kenyang Rakus, rakus, bukan kepalang Otak tikus memang bukan otak udang Kucing datang tikus menghilang Kucing-kucing yang kerjanya molor Tak ingat tikus kantor datang menteror Cerdik, licik, tikus bertingkah tengik Mungkin karena sang kucing pura-pura mendelik Tikus tahu sang kucing lapar Kasih roti jalan pun lancar Memang sial sang tikus teramat pintar Atau mungkin si kucing yang kurang ditatar Tikus-tikus tak kenal kenyang Rakus, rakus, bukan kepalang Otak tikus memang bukan otak udang Kucing datang tikus menghilang;bersemangat;Tikus Kantor;Iwan Fals
Suatu hari Dikala kita duduk ditepi pantai Dan memandang ombak dilautan yang kian menepi Burung camar terbang Bermain diderunya air Suara alam ini Hangatkan jiwa kita Sementara Sinar surya perlahan mulai tenggelam Suara gitarmu Mengalunkan melodi tentang cinta Ada hati Membara erat bersatu Getar seluruh jiwa Tercurah saat itu Kemesraan ini Janganlah cepat berlalu Kemesraan ini Inginku kenang selalu Hatiku damai Jiwaku tentram di samping mu Hatiku damai Jiwa ku tentram Bersamamu Sementara Sinar surya perlahan mulai tenggelam Suara gitarmu Mengalunkan melodi tentang cinta Ada hati Membara erat bersatu Getar seluruh jiwa Tercurah saat itu Kemesraan ini Janganlah cepat berlalu Kemesraan ini Inginku kenang selalu Hatiku damai Jiwaku tentram di samping mu Hatiku damai Jiwa ku tentram Bersamamu Kemesraan ini Janganlah cepat berlalu Kemesraan ini Inginku kenang selalu Hatiku damai Jiwaku tentram di samping mu Hatiku damai Jiwa ku tentram Bersamamu;sedih;Kemesraan;Iwan Fals
Kalau cinta sudah dibuang Jangan harap keadilan akan datang Kesedihan hanya tontonan Bagi mereka yang diperkuda jabatan Wo o ya o ya o ya bongkar Wo o ya o ya o ya bongkar Sabar, sabar, sabar dan tunggu Itu jawaban yang kami terima Ternyata kita harus ke jalan Robohkan setan yang berdiri mengangkang Wo o ya o ya o ya bongkar Wo o ya o ya o ya bongkar Wo o ya o ya o ya bongkar Wo o ya o ya o ya bongkar Penindasan serta kesewenang-wenangan Banyak lagi, teramat banyak untuk disebutkan Hoi hentikan, hentikan jangan diteruskan Kami muak dengan ketidakpastian dan keserakahan Di jalanan kami sandarkan cita-cita Sebab di rumah tak ada lagi yang bisa dipercaya Orang tua pandanglah kami sebagai manusia Kami bertanya tolong kau jawab dengan cinta O-o-oh! Wo o ya o ya o ya bongkar Wo o ya o ya o ya bongkar Wo o ya o ya o ya bongkar Wo o ya o ya o ya bongkar Penindasan serta kesewenang-wenangan Banyak lagi, teramat banyak untuk disebutkan Hoi hentikan, hentikan jangan diteruskan Kami muak dengan ketidakpastian dan keserakahan Wo o ya o ya o ya bongkar Wo o ya o ya o ya bongkar Wo o ya o ya o ya bongkar Wo o ya o ya o ya bongkar Di jalanan kami sandarkan cita-cita Sebab di rumah tak ada lagi yang bisa dipercaya Orang tua pandanglah kami sebagai manusia Kami bertanya tolong kau jawab dengan cinta Wo o ya o ya o ya bongkarWo o ya o ya o ya bongkar Wo o ya o ya o ya bongkar Wo o ya o ya o ya bongkar;marah;Bongkar;Iwan Fals
Untukmu yang duduk sambil diskusi Untukmu yang biasa bersafari Di sana di gedung DPR Wakil rakyat kumpulan orang hebat Bukan kumpulan teman-teman dekat Apalagi sanak famili Di hati dan lidahmu kami berharap Suara kami tolong dengar lalu sampaikan Jangan ragu jangan takut karang menghadang Bicaralah yang lantang jangan hanya diam Di kantong safarimu kami titipkan Masa depan kami dan negeri ini Dari Sabang sampai Merauke Saudara dipilih bukan dilotre Meski kami tak kenal siapa saudara Kami tak sudi memilih para juara Juara diam juara he-eh juara hahaha Untukmu yang duduk sambil diskusi Untukmu yang biasa bersafari Di sana di gedung DPR Di hati dan lidahmu kami berharap Suara kami tolong dengar lalu sampaikan Jangan ragu jangan takut karang menghadang Bicaralah yang lantang jangan hanya diam Wahai sahabat Wakil rakyat seharusnya merakyat Jangan tidur waktu sidang soal rakyat Wakil rakyat bukan paduan suara Hanya tahu nyanyian lagu setuju Wakil rakyat seharusnya merakyat Jangan tidur waktu sidang soal rakyat Wakil rakyat bukan paduan suara Hanya tahu nyanyian lagu setuju Wakil rakyat seharusnya merakyat Jangan tidur waktu sidang soal rakyat Wakil rakyat bukan paduan suara Hanya tahu nyanyian lagu setuju Wakil rakyat seharusnya merakyat Jangan tidur waktu sidang soal rakyat Wakil rakyat bukan paduan suara Hanya tahu nyanyian lagu setuju Wakil rakyat seharusnya merakyat Jangan tidur waktu sidang soal rakyat Wakil rakyat bukan paduan suara Hanya tahu nyanyian lagu setuju Wakil rakyat seharusnya merakyat Jangan tidur waktu sidang soal rakyat Wakil rakyat bukan paduan suara Hanya tahu nyanyian lagu setuju Wakil rakyat seharusnya merakyat Jangan tidur waktu sidang soal rakyat Bukan paduan suara Hanya tahu nyanyian lagu setuju;bersemangat;Surat Buat Wakil Rakyat;Iwan Fals
Denting piano Kala jemari menari Nada merambat pelan Di kesunyian malam Saat datang rintik hujan Bersama sebuah bayang Yang pernah terlupakan Hati kecil berbisik Untuk kembali padanya Seribu kata menggoda Seribu sesal di depan mata Seperti menjelma Waktu aku tertawa Kala memberimu dosa Oh maafkanlah Oh maafkanlah Rasa sesal di dasar hati Diam tak mau pergi Haruskah aku lari dari kenyataan ini Pernah ku mencoba tuk sembunyi Namun senyummu tetap mengikuti Hati kecil berbisik Untuk kembali padanya Seribu kata menggoda Seribu sesal di depan mata Seperti menjelma Waktu aku tertawa Kala memberimu dosa Rasa sesal di dasar hati Diam tak mau pergi Haruskah aku lari dari kenyataan ini Pernah ku mencoba tuk sembunyi Namun senyummu tetap mengikuti Rasa sesal di dasar hati Diam tak mau pergi Haruskah aku lari dari kenyataan ini Pernah ku mencoba tuk sembunyi Namun senyummu tetap mengikuti Rasa sesal di dasar hati Diam tak mau pergi Haruskah aku lari dari kenyataan ini Pernah ku mencoba tuk sembunyi Namun senyummu tetap mengikuti;sedih;Yang Terlupakan;Iwan Fals
Memang banyak yang bilang aku tampan rupawan Bentuk tubuhku seksi, kekar tegap berisi Dengan tatapan tajam penuh percaya diri Bikin wanita tergila-gila, mabuk kepayang Pandai bernyanyi apalagi menari lulus dengan sempurna Ditambah gaya trendy bak pria masa kini Akulah lelaki idola sejati Tapi jangan bilang mama Aku takut nanti dia bisa marah-marah Kalau tahu aku ini adalah boy band boy band boy band Memang banyak yang bilang aku tampan rupawan Bentuk tubuhku seksi, kekar tegap berisi Dengan tatapan tajam penuh percaya diri Bikin wanita tergila-gila, mabuk kepayang Aku pandai bernyanyi apalagi menari ... lulus dengan sempurna Ditambah gaya trendy bak pria masa kini Akulah lelaki idola sejati Tapi jangan bilang mama Aku takut nanti dia bisa marah-marah Kalau tahu aku ini adalah boy band boy band boy band Tapi jangan bilang mama Aku takut nanti dia bisa marah-marah Kalau tahu aku ini adalah boy band boy band boy band Tapi jangan bilang mama Aku takut nanti dia bisa marah-marah Kalau tahu aku ini adalah boy band boy band boy band Tapi jangan bilang mama Aku takut nanti dia bisa marah-marah Kalau tahu aku ini adalah boy band boy band boy band Tapi jangan bilang mama Aku takut nanti dia bisa marah-marah Kalau tahu aku ini adalah boy band boy band boy band Aku ini boy band, aku emang boy band Aku memang aku memang boy band;bersemangat;Boyband;Tipe-X
Luka itu memang terlalu berat untukmu Terlalu keras untuk kau rasakan Tak seperti keinginan dan harapan Yang selalu kau impikan, kau inginkan Kau khayalkan dan kau bayangkan dulu Mestinya kau sadari itu Bukan penyesalan yang ada di hati Saat kau yakinkan diri 'tuk pergi Coba hadapi semua ini sendiri Dan ternyata keyakinan Tak cukup mampu untuk melawan Kau pun tak mampu bertahan Kini kau mawar penghias malam Kau mawar hitam, harummu kepedihan Kau arungi waktu di setiap pelukan Langit tetap saja hitam Meski air mata darah kau curahkan Meratapi diri rindukan jalan terbaik Untuk tetap berdiri Penyesalan (Penyesalan) Memang selalu menakutkan Tapi itu kenyataan (Itu kenyataan) Woh-woh-who Na-na-na-na, na-na-na-na Woh-woh-who Na-na-na-na, na-na-na-na Dan ternyata keyakinan Tak cukup mampu untuk melawan Kau pun tak mampu bertahan Kini kau mawar penghias malam Kau mawar hitam, harummu kepedihan Kau arungi waktu di setiap pelukan Jangan menangis meski kau sesali Singkirkan semua bila tak kau inginkan;sedih;Mawar Hitam;Tipe-X
Lihat senyum manis diatas bibir bergincu Kerdip mata merayu jelas coba mengganggu Tawa renyah terpasang bukan tanpa tujuan Satu korban terjerat itulah harapan Wangi parfum semerbak membius pusat syaraf Hadirkan bayangan tuk lepas keresahan Bergejolak semua coba berontak Ketika tak kuasa langsung kulari mengelak Ah entah sampai kapan Kau mampu bertahan Hindari kenyataan entah sampai kapan Kau mampu bertahan Mungkin kau terfikir lepas belenggu hitam Hidup memang selalu penuh dengan warna – warni Bila terjebak sulit untuk coba keluar Semua pasti ada jalan keluar Cobalah berusaha Ah entah sampai kapan Kau mampu bertahan hindari kenyataan entah sampai kapan Mungkinkah terpikir lepas belenggu hitam;santai;Genit;Tipe-X
